,ACN US Equity,AMD US Equity,AKAM US Equity,ADSK US Equity,CA US Equity,GIB US Equity,CSCO US Equity,EMC US Equity,HPQ US Equity,INTC US Equity,IBM US Equity,MSFT US Equity,MSI US Equity,NVDA US Equity,RAX US Equity,SYMC US Equity,TEL US Equity,TDC US Equity,TXN US Equity,XRX US Equity
11/27/13,$77.61 ,$3.56 ,$44.40 ,$45.44 ,$32.92 ,$37.59 ,$21.27 ,$23.85 ,$12.42 ,$23.90 ,$178.97 ,$37.60 ,$65.50 ,$15.70 ,$37.08 ,$22.68 ,$52.53 ,$45.68 ,$42.52 ,$11.29 
11/29/13,$77.47 ,$3.64 ,$44.72 ,$45.25 ,$33.00 ,$36.89 ,$21.25 ,$23.85 ,$12.42 ,$23.84 ,$179.68 ,$38.13 ,$65.88 ,$15.60 ,$38.21 ,$22.49 ,$52.72 ,$45.64 ,$43.00 ,$11.38 
12/2/13,$76.33 ,$3.66 ,$44.11 ,$45.42 ,$32.87 ,$36.51 ,$21.09 ,$23.72 ,$12.40 ,$23.70 ,$177.48 ,$38.45 ,$65.66 ,$15.75 ,$37.50 ,$22.48 ,$52.88 ,$45.81 ,$42.81 ,$11.54 
12/3/13,$77.09 ,$3.62 ,$45.65 ,$45.77 ,$32.72 ,$36.17 ,$21.26 ,$23.60 ,$12.49 ,$23.55 ,$176.08 ,$38.31 ,$65.79 ,$15.74 ,$35.52 ,$22.54 ,$52.86 ,$45.35 ,$42.84 ,$11.31 
12/4/13,$76.07 ,$3.57 ,$45.86 ,$46.29 ,$32.63 ,$34.66 ,$21.25 ,$23.82 ,$12.77 ,$23.74 ,$175.74 ,$38.94 ,$64.93 ,$15.96 ,$34.52 ,$22.46 ,$53.03 ,$42.53 ,$42.43 ,$11.08 
12/5/13,$75.79 ,$3.64 ,$45.12 ,$45.94 ,$32.48 ,$34.54 ,$20.91 ,$23.90 ,$12.37 ,$24.26 ,$176.08 ,$38.00 ,$65.23 ,$15.70 ,$34.76 ,$22.48 ,$53.05 ,$41.60 ,$42.66 ,$11.04 
12/6/13,$75.53 ,$3.66 ,$44.95 ,$46.42 ,$32.85 ,$33.94 ,$21.28 ,$24.00 ,$12.58 ,$24.82 ,$177.67 ,$38.36 ,$66.18 ,$15.47 ,$33.61 ,$22.78 ,$53.62 ,$41.88 ,$43.49 ,$11.28 
12/9/13,$75.13 ,$3.63 ,$44.35 ,$46.78 ,$32.83 ,$33.75 ,$21.22 ,$23.68 ,$12.37 ,$24.93 ,$177.46 ,$38.71 ,$65.79 ,$15.21 ,$33.25 ,$22.58 ,$53.45 ,$41.97 ,$43.58 ,$11.44 
12/10/13,$75.41 ,$3.72 ,$45.01 ,$46.79 ,$32.98 ,$34.98 ,$21.21 ,$23.60 ,$12.28 ,$24.82 ,$177.12 ,$38.11 ,$65.41 ,$15.56 ,$33.19 ,$22.44 ,$53.75 ,$41.15 ,$43.41 ,$11.47 
12/11/13,$74.40 ,$3.68 ,$44.44 ,$45.75 ,$32.51 ,$34.20 ,$20.88 ,$23.33 ,$12.25 ,$24.42 ,$175.20 ,$37.61 ,$64.60 ,$15.41 ,$33.65 ,$22.22 ,$53.07 ,$40.06 ,$42.81 ,$11.16 
