,A
TICKER,Sharpe,Avg Return,fcfTest Test,pbTest Test,deTest Test,roaTest Test,peTest Test,epsTest Test,roeTest Test,RETURN,PE,PB,EPS,DE,FCF,ROE,ROA,MC,BETA,PE Score,PB Score,EPS Score,DE Score,FCF Score,ROE Score,ROA Score,BETA Score,FTG Score
VOW:GR,-4.533323407498844,-0.06200000000000001,30,0,20,4,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-5.106641515871018,-0.034999999999999996,40,0,20,3,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-5.119291801771753,-0.049,40,0,20,4,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-5.106641515871018,-0.034999999999999996,40,0,20,3,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-5.119291801771753,-0.049,40,0,20,4,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
9783:JP,-22.382419623167284,-0.087,10,0,30,3,3,20,3,-0.14,24.8,2.12,11.81,23.32,12.28,8.7,3.91,325000000000.0,0.48,False,False,False,True,True,True,True,0.00020833333333333335,4.000208333333333
ADS:GR,-4.796232776392988,-0.087,10,0,30,4,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
9783:JP,-22.382419623167284,-0.087,10,0,30,3,3,20,4,-0.14,24.8,2.12,11.81,23.32,12.28,8.7,3.91,325000000000.0,0.48,False,False,False,True,True,True,True,0.00020833333333333335,4.000208333333333
035250:KS,-4.796232776392988,-0.087,10,0,30,4,3,20,4,-0.03,13.43,2.26,-8.75,0.0,19.49,17.87,13.21,9090000000000.0,0.68,False,False,False,True,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.848732966407776,-0.084,20,0,30,3,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.957885950755412,-0.078,20,0,30,4,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.848732966407776,-0.084,20,0,30,3,3,20,4,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
ADS:GR,-4.512526443119804,-0.069,20,0,30,4,3,20,4,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,False,True,True,True,0.00014705882352941175,4.000147058823529
VOW:GR,-6.538597054803629,-0.06000000000000001,30,0,30,3,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-5.92622918116506,-0.036000000000000004,30,0,30,4,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-6.538597054803629,-0.06000000000000001,30,0,30,3,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-5.92622918116506,-0.036000000000000004,30,0,30,4,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-9.010490592885526,-0.034,40,0,30,3,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-5.024065453707071,-0.043,40,0,30,4,3,20,3,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-7.439842932649068,-0.025000000000000005,40,0,30,3,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
VOW:GR,-5.024065453707071,-0.043,40,0,30,4,3,20,4,-0.03,3.66,0.98,96.48,152.63,136.37,30.78,7.09,49072260657.0,1.06,False,False,True,False,True,True,True,9.433962264150943e-05,4.000094339622642
ADS:GR,-5.14879409620945,-0.06,10,0,40,3,3,20,3,-0.03,19.98,2.38,38.0,31.63,23.59,14.06,6.49,15546227133.0,0.68,False,False,True,True,True,True,True,0.00014705882352941175,5.000147058823529
